manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
